id	artist	album	genre	year	discs	speed	bought
219	Michael Jackson	Bad	Pop	1987		33	2015
218	AC/DC	Back in Black	Hard Rock, Heavy Metal, Arena Rock	1980		33	2015
217	Lindisfarne	Back and Fourth	Folk Rock	1978		33	2010
216	ABBA	Arrival	Pop, Euro Disco	1976		33	2010
215	Various	Arizona Sounds Volume Two	Rock, Jazz, Blues	1978		33	2012
214	Orchestral Manoeuvres in the Dark	Architecture & Morality	Electronic, New Wave, Synth-Pop, Experimental	1981		33	2010
213	Barbara Dickson	Answer Me	Pop	1976		33	2010
212	Queen	Another One Bites the Dust	Rock, Disco	1980		45	2014
211	Genesis	And Then There Were Three	Pop Rock	1978		33	2010
210	Billy Joel	An Innocent Man	Pop Rock, Soft Rock, Doo-Wop	1983		33	2010
209	Cheyenne Mize	Among the Grey	Folk	2013		33	2013
208	Cheyenne Mize and Bonnie 'Prince' Billy	Among the Gold	Folk, Parlor	2009		33	2009
207	Willie Nelson	Always On My Mind	Counrty, Pop, Rock and Roll	1982		33	2010
206	Asia	Alpha	Progressive Rock, Pop Rock	1983		33	2010
205	KC & The Sunshine Band	All In A Night's Work	Disco, Funk	1975		33	2009
204	Pearl Jam	Alive	Grunge, Rock	1991		45	2013
203	Iannis Xenakis	Akrata - Achorripsis	Classical, Experimental	1969		33	2013
202	Steeley Dan	aja	Jazz Rock	1977		33	2010
201	Steve Martin	A Wild and Crazy Guy	Comedy	1978		33	2012
200	Renaissance	A Song for All Seasons	Progressive Rock	1978		33	2010
199	The Moody Blues	A Question of Balance	Progressive Rock	1970		33	2010
198	Billy Joel	52nd Street	Rock, Jazz Rock	1978		33	2010
197	Sublime	40oz to Freedom	Ska Punk, Reggae Rock	1992		33	2014
196	Various	25 Rock Revival Greats	Rock 'N' Roll			33	2010
195	Various	2001 a space odyssey	Soundtrack	1968		33	2012
194	Buddy Holly	20 Golden Greats	Rock and Roll, Rockabilly, Pop, Country	1958		33	2005
193	Various	20 Famous Country Hits	Country			33	2010
192	Gladys Knight & The Pips	2 Record Set	R&B, Soul, Pop			33	2008
191	Leo Kottke	1971-1976	Folk, Country, American Primitive Guitar	1976		33	2011
190	Peter Tchaikovsky	1812 Overture	Classical			33	2010
189	Michael Jackson	18 Greatest Hits	Pop			33	2010
188	Peter, Paul & Mary	10 Years Together	Folk	1970		33	2010
187	French Quarter	French Quarter	Folk, Bedroom Pop	2007		33	2007
186	Whitney Houston	Whitney Houston	Pop, R&B	1985		33	2020
185	George Moustaki		French, Pop			33	2020
184	Toto	Toto	Progressive Rock, Jazz Rock, R&B, Hard Rock	1978		33	2010
183	Toto	IV	Rock	1982		33	2010
