id	artist	album	genre	year
428	The Stranglers	Something Better Change/Straighten Out	Punk Reggae	1977
427	Various	Solitudes: Environmental Sounds Experiences	Sound	
426	The English Congregation	Softly Whispering I Love You	Pop, Vocal	1971
424	Dr. Hook	Sloppy Seconds	Counrty Rock	1972
423	Stevie Wonder	Sir Duke	R&B, Soul	1977
421	Various	Sidewalks of New York	Soundtrack	
419	Various	Saturday Night Fever	Soundtrack	1977
415	Poco	Rose of Cimarron	Country Rock	1976
414	The Tigers	Romance in the Milky Way/Flower Necklace	Group Sounds, Baroque Pop	1968
413	Ramones	Rockaway Beach	Punk Rock	1977
412	Various	Rock 'N' Roll High School	Soundtrack	1979
411	PotShot	Rock 'n' Roll	Ska Punk, J-Ska	1999
410	Ike & Tina Turner	River Deep ~ Mountain High	Soul, R&B, Blues	1966
409	Wolfgang Amadeus Mozart	Requiem	Classical	
407	Edwin L Baron	Relaxation and Self-Improvement	Relaxation, Self-Improvement	
406	Various	Reflections: Original Instrumental Hits	Instrumental	
404	Dylan Thomas	Reading	Spoken Word	
403	The Boomtown Rats	Rat Trap	Punk Rock, New Wave	1978
401	Ultravox	Rage in Eden	Synth-Pop, New Wave	1981
398	Prince	Purple Rain	Pop, R&B, Rock, Psychedelia, New Wave, Funk	1984
397	Daryl Hall and John Oates	Private Eyes	Pop Rock, Blue-Eyed Soul, Soft Rock	1981
393	Various	Playboy Manbaby, Petty Things, Cherie Cherie	Rock	2011
392	Huey Lewis and the News	Picture This	Rock, Pop Rock	1981
389	The Stranglers	Peaches	Punk Reggae	1977
388	Ultravox	Passionate Reply	Synth-Pop, New Wave	1981
382	George Frederick Handel	Organ Concertos	Classical	
381	Shannon & the Clams	Onion	Garge Punk, Rockabilly, Doo-Wop	2018
380	Michael Jackson	One Day in Your Life	Pop	1981
379	The Moody Blues	On the Threshold of Dream	Progressive Rock	1969
378	Harry Chapin	On the Road to Kingdom Come	Pop Rock	1976
377	Charlie Monroe	On the Noon-Day Jamboree	Bluegrass, Gospel, Country, Folk	1974
373	Carly Simon	No Secrets	Pop Rock	1972
372	Daryl Hall and John Oates	No Goodbyes	Pop Rock, Blue-Eyed Soul, Soft Rock	1977
368	Various	Music from the Galaxies		
367	George Frederick Handel	Music for the Royal Fireworks	Classical	
365	Herman's Hermits	Mrs. Brown You Have A Lovely Daughter	Beat, Pop	1963
364	Barbara Dickson	Morning Comes Quickly	Pop	1977
361	Glochids	Null Sound	Soundtrack	2018
360	Thelonious Monk	Misterioso	Jazz, Hard Bop	1958
358	George Frederick Handel	Messiah	Classical	
357	Various	Memories		
356	Yeah Yeah Yeahs	Fever to Tell	Garage Rock Revival, Art Punk	2003
355	The Bee Gees	Massachusetts	Pop	1967
354	Mark Russell	Mark Russell's Wild, Weird, Wired World of Watergate	Spoken Word	
353	Roy Neal	Man on the Moon: The Flight of Apollo 11	History	1969
349	Kiki Dee	Loving & Free	Pop	1973
348	The Boomtown Rats	Lookin' After No. 1	Punk Rock, New Wave	1977
346	Daryl Hall and John Oates	Livetime	Pop Rock, Blue-Eyed Soul, Soft Rock	1978
343	Monty Python	Live and City Center	Comedy	1976
342	The Doors	Light My Fire	Psychedelic Rock	1967
338	Stevie Wonder	Lately	R&B, Soul	1981
336	Claude Debussy	La Mer and Iberia	Classical	
335	Andy Fairweather Low	La Booga Rooga	Pop Rock	1975
333	KC & The Sunshine Band	KC & The Sunshine Band	Disco, Funk	1982
329	J.S. Bach	Italian Concerto, French Overture	Classical, Baroque	
328	The Rolling Stones	It's Only Rock 'n' Roll	Rock and Roll, Blues Rock, Funk Rock	1974
324	Bill Monroe and his Bluegrass Boys	In the Pines	Bluegrass, Gospel, Country, Folk	1952
322	Grateful Dead	In the Dark	Rock	1987
321	Miram Makeba	In Concert!	Afropop, Jazz, African	1968
319	X-Ray Spex	IAMA POSEUR	Punk Rock, New Wave	1977
318	The Kiki Dee Band	I've Got the Music in Me	Pop	1974
316	Art Garfunkel	I Only Have Eyes For You	Folk, Pop	1975
315	Louis Armstrong and the All-Stars	I Love Jazz	Jazz, Dixieland Jazz	
313	George Frederick Handel	Highlights from Messiah	Classical	
312	Graham Parker	Heat Treatment	Rock	1976
310	Daryl Hall and John Oates	H2O	Pop Rock, Blue-Eyed Soul, Soft Rock	1982
309	Monks of the Benedictine Abbey	Gregorian Chants	Gregorian Chant	
308	Elton John	Greatest Hits Volume II	Rock, Pop, Glam Rock	1977
307	Barbara Streisand	Greatest Hits Volume 2	Pop	
306	The Four Tops	Greatest Hits	Soul, Pop	1967
305	Steeley Dan	Greatest Hits	Soft Rock, Folk Rock	1978
303	Elton John	Greatest Hits	Rock, Pop, Glam Rock	1974
302	Donovan	Greatest Hits	Folk, Pop, Psychedelia	1969
301	Various	Grease	Musical	1971
297	The Drifter's	Golden Hits	Doo-Wop	1968
296	The Ventures	Golden Greats	Surf Rock	1967
295	Various	Golden Barbershop Ballads	Barbershop	
292	Ike & Tina Turner	Get It-Get It!	Soul, R&B, Blues	1966
290	Bette Midler	From a Distance	Pop	1990
287	Steeley Dan	Four Tracks from Steeley Dan	Soft Rock, Folk Rock	1978
286	Anton Dvorak	Four Slavonic Dances	Classical	1878
283	Manfred Mann	For Sale: Semi-Detached Suburban	Rock, Psychedelic Pop	
279	Heinz Holliger	Famous Oboe Concertos	Classical	
278	Sad Cafe	Facades	Soft Rock	1980
275	Buzzcocks	Ever Fallen In Love	Punk Rock, Power pop, New Wave	1978
273	Barbara Streisand	Emotion	Pop	1984
270	Electric Light Orchestra	Eldorado	Progressive rock	1974
263	Pete Fountain	Dixieland	Jazz, Dixieland Jazz	1977
262	Various	Dita Von Teese - Soundtrack for Seduction	Soundtrack	2016
259	Dean Friedman	Dean Friedman	Soft Rock, Pop, Folk	1977
258	David Grisman	Dawg Grass	Americana, Newgrass, Jazz	1982
256	Trio	Da Da Da	Neue Deutsche Welle, New Wave, Minimalism	1981
254	La Sabrosona	Cuarteto Ysidoro Flores y Otros		1987
253	Crystal Gayle	Crystal	Country	1976
246	Peter Tchaikovsky	Concerto No. 1	Classical	
242	Various	Children of Paris	Childrens	
241	David Bowie	Changes One	Rock, Glam Rock, Art Rock	1976
240	David Bowie	Changes	Glam Rock, Art Rock	1971
237	Steeley Dan	Can't Buy a Thrill	Soft Rock, Folk Rock	1972
232	Van Dyke Parks	Brer Rabbit	Soundtrack, Orchestral Pop	1984
227	Tune Yards	Bird-Brains	Lo-Fi	2009
225	Daryl Hall and John Oates	Beauty on a Back Street	Pop Rock, Blue-Eyed Soul, Soft Rock	1977
224	Tempe Union H.S.	Beat of the Buffs	Marching Band	
223	Andy Fairweather Low	Be Bop 'N' Holla	Pop Rock	1976
